kmer	kmer_behaviour	flk_dist	fwdk_gen_count	revk_gen_count	fwdk_0gen_prop	revk_0gen_prop	fwdk_1gen_prop	revk_1gen_prop	fwdk_0gen_count	revk_0gen_count	fwdk_1gen_count	revk_1gen_count	fwdk_0gen_med	fwdk_0gen_sd	revk_0gen_med	revk_0gen_sd	fwdk_1gen_med	fwdk_1gen_sd	revk_1gen_med	revk_1gen_sd
kmer1223	intactk_noN	NA	299	169	0.723	0.277	0.485	0.515	219	84	80	85	991673	22884.2701895776	3083801	55332.5551871579	991675.5	16857.4496380117	3062834	9128.92215550601
kmer1224	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24720	304.284727619696	NA	NA	24720	0.47401042522551	NA	NA
kmer1225	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23778	304.284727619696	NA	NA	23778	0.47401042522551
kmer1226	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	24360	304.284727619696	NA	NA	24360	0.47401042522551	NA	NA
kmer1227	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26220	304.285809291802	NA	NA	26220	0.47401042522551
kmer1228	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	26189	304.285809291802	NA	NA	26189	0.47401042522551
kmer1229	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	22225	304.284727619696	NA	NA	22225	0.47401042522551
kmer123	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	23112	304.284727619696	NA	NA	23112	0.47401042522551
kmer1230	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22466	304.284727619696	NA	NA	22466	0.47401042522551	NA	NA
kmer1231	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	21315	0.212755238195914	NA	NA	21315	0.47401042522551	NA	NA
kmer1232	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	23037	304.284727619696	NA	NA	23037	0.47401042522551	NA	NA
kmer1233	intactk_noN	NA	468	0	1	0	1	0	303	0	165	0	22796	304.284727619696	NA	NA	22796	0.47401042522551	NA	NA
kmer1234	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	24857	304.284727619696	NA	NA	24857	0.47401042522551
kmer1235	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	25807	304.285809291802	NA	NA	25807	0.47401042522551
kmer1236	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21586	0.212755238195914	NA	NA	21586	0.47401042522551
kmer1237	intactk_noN	NA	0	468	0	1	0	1	0	303	0	165	NA	NA	21765	0.212755238195914	NA	NA	21765	0.47401042522551
